query	target	fident	alnlen	mismatch	gapopen	qstart	qend	qlen	qcov	tstart	tend	tlen	tcov	evalue	bits
K7U4B2|K7U4B2_MAIZE	K7U4B2|K7U4B2_MAIZE	1.000	267	0	0	1	267	267	1.000	1	267	267	1.000	8.494E-159	498
K7U4B2|K7U4B2_MAIZE	A0A1D6QK85|A0A1D6QK85_MAIZE	0.903	245	24	0	1	245	267	0.918	1	245	307	0.798	9.444E-147	464
K7U4B2|K7U4B2_MAIZE	Q651Y5|Q651Y5_ORYSJ	0.560	256	110	0	16	266	267	0.940	18	273	273	0.938	8.638E-82	276
K7U4B2|K7U4B2_MAIZE	B4FZE8|B4FZE8_MAIZE	0.552	256	108	0	18	258	267	0.903	11	266	271	0.945	5.146E-80	271
K7U4B2|K7U4B2_MAIZE	A0A1D6I6L8|A0A1D6I6L8_MAIZE	0.526	260	115	0	15	258	267	0.914	4	263	268	0.970	6.406E-76	259
K7U4B2|K7U4B2_MAIZE	Q0J4T9|Q0J4T9_ORYSJ	0.605	181	71	0	86	266	267	0.678	1	181	181	1.000	8.736E-61	215
K7U4B2|K7U4B2_MAIZE	Q8H3S1|Q8H3S1_ORYSJ	0.361	227	144	0	41	267	267	0.850	190	415	415	0.545	4.606E-34	138
K7U4B2|K7U4B2_MAIZE	Q6K489|Q6K489_ORYSJ	0.360	223	131	0	41	263	267	0.835	191	396	401	0.514	4.041E-33	135
K7U4B2|K7U4B2_MAIZE	B6SZA0|B6SZA0_MAIZE	0.321	250	160	0	16	265	267	0.936	173	408	410	0.576	1.067E-30	128
K7U4B2|K7U4B2_MAIZE	B6SL10|B6SL10_MAIZE	0.327	228	152	0	41	267	267	0.850	194	421	421	0.542	3.790E-28	120
K7U4B2|K7U4B2_MAIZE	A0A0P0WVU8|A0A0P0WVU8_ORYSJ	0.420	146	78	0	74	209	267	0.509	45	190	239	0.611	8.374E-25	110
K7U4B2|K7U4B2_MAIZE	Q8S5V0|Q8S5V0_ORYSJ	0.311	219	143	0	41	259	267	0.820	188	395	401	0.519	9.770E-24	107
K7U4B2|K7U4B2_MAIZE	Q6AUG3|Q6AUG3_ORYSJ	0.305	182	120	0	75	256	267	0.682	89	261	272	0.636	5.541E-17	87
K7U4B2|K7U4B2_MAIZE	A0A096SZF8|A0A096SZF8_MAIZE	0.311	156	95	0	75	230	267	0.584	88	226	265	0.525	7.652E-14	78
Q62009|POSTN_MOUSE	Q62009|POSTN_MOUSE	1.000	838	0	0	1	838	838	1.000	1	838	838	1.000	0.000E+00	1687
Q62009|POSTN_MOUSE	Q62009-2|POSTN-2_MOUSE	0.924	838	62	0	1	838	838	1.000	1	811	811	1.000	0.000E+00	1621
Q62009|POSTN_MOUSE	Q62009-3|POSTN-3_MOUSE	0.922	838	63	0	1	838	838	1.000	1	810	810	1.000	0.000E+00	1617
Q62009|POSTN_MOUSE	D3ZAF5|D3ZAF5_RAT	0.907	838	75	0	1	838	838	1.000	1	810	810	1.000	0.000E+00	1587
Q62009|POSTN_MOUSE	E2QUG4|E2QUG4_CANLF	0.897	838	86	0	1	838	838	1.000	1	836	836	1.000	0.000E+00	1568
Q62009|POSTN_MOUSE	Q15063|POSTN_HUMAN	0.891	838	91	0	1	838	838	1.000	1	836	836	1.000	0.000E+00	1555
